Name,Vorname,Partei
Abstreiter-Knecht,Brigitte,CVP
Acar,Sait,SP
Aebli,Daniel,SVP
Bach,Vera,FW
Baldegger,Harry,FW
Barco Greiner,Gabriella,SP
Barmettler,Peter,FDP
Biagioli,Ann-Kathrin,GLP
Blümli,Andrea,CVP
Broggini,Angela,GRÜNE
Bräuer,Rudolf,FW
Buchmann,Reto,FDP
Buchmann-Bach,Vera,FW
Bühler,Peter,SP
Bürgi,Markus,FDP
Caduff,Stefan,FW
Clesle-Möbius,Hanspeter,EVP
Corrodi,Bernie,FW
Eggenberger,Daniela,SVP
Egli,Raphael,CVP
Engel,Pascal,EVP
Etemi,Xhelajdin,SP
Favre,Pierre,CVP
Frei,Daniel,FW
Frei,Kurt,SP
Fässler,Thomas,CVP
Gall,Rudolf,CVP
Geissler,Heinz,FDP
Glur-Diminutto,Daniella,GRÜNE
Gräflein,Ulrich,GRÜNE
Gräflein,Ulrich,Grüne
Gubser,Chris,FDP
Günthardt,Renato,SVP
Habersaat,Hedwig,SVP
Hans,Marion,FW
Helbling,Silvia,FDP
Hesse,Jochen,SP
Huber,Harald,FDP
Huber,Sebastian,SVP
Huber,Urs,SVP
Huber,Simone,FDP
Hug-Dannecker,Karin,EVP
Häberli Vonbank,Barbara,SP
Iseli,Thomas,FDP
Jacoby,Simon,SP
Jacoma,Martial,Die Mitte
Jacomet,Renato,SVP
Jucker,Heidi,SVP
Jud,Daniel,SP
Kappeler,Nicole,CVP
Kappeler,Nicole,SVP
Koller,Martin,SVP
Kuhn,Markus,Grüne
Kälin,Florian,Die Mitte
Kälin,Florian,CVP
Künzler,Urs,SVP
Künzler,Urs,Die Mitte
Lauper,Erwin,SVP
Leu,Patrick,CVP
Liedtke,Wolfgang,SP
Loss,Davide,SP
Luck,Andreas,SVP
Marty Fässler,Carmen,SP
Meier,Karl,SP
Meier,Theo,EVP
Melliger,Heinz,FW
Morf,Daniela,SVP
Morf,Alfred,SVP
Muthuthamby,Kannathasan,SP
Mäder,Gabriel,GLP
Neubert,Stefan,GLP
Neukom,Roger,FDP
Nyffeler,Hans-Peter,SVP
Näf,Andrea,CVP
Oswald,Marianne,GRÜNE
Pfenninger,Simon,CVP
Riesen,Gabriel,SVP
Riesen,Bernd,SVP
Rindlisbacher,Hans,SVP
Rossi,Franco,SVP
Ruckstuhl,Clemens,CVP
Ruckstuhl,Clemens,FW
Röthlisberger,Ulrich,SVP
Rütimann Habegger,Ursula,SP
Rüttimann,Martin,CVP
Sager,Patrick,FDP
Salomon,Mario,SVP
Schanz,Simon,Die Mitte
Schanz,Simon,CVP
Schmid Göldi,Rita,SP
Schneider,Daniel,GRÜNE
Schoch,Jaqueline,GRÜNE
Schwager,Christoph,CVP
Schweizer,Rolf,FDP
Schütz,Kurt,EVP
Senn,Mario,FDP
Senn-Fleischmann,Susy,FDP
Simon,Markus,FW
Stenz,Max,FW
Stieger,Hans Rudolf,SP
Stutz,Patrick,SVP
Sulser,Angelika,SP
Sütterlin,Christoph,Die Mitte
Titus,Christian,SVP
Uebersax,Walter,CVP
Uebersax,Walter,Die Mitte
Vasella Billeter,Renata,SP
Weber,Martin,SVP
Welti,Pascal,Grüne
Werder,Peter,FDP
Werder,Marietta,FDP
Wettstein,Yannick,SP
Wettstein,Yannik,FDP
Wettstein,Yannick,FDP
Weyermann,Urs,SVP
Willimann,Katharina,SP
Winter,Stephan,FW
Winter,Stefan,FW
Wyss,Keith,SVP
Wälle,Robert,FDP
Würl,Anke,CVP
Würl-Zwanziger,Anke,CVP
Yilmaz,Esen,SP
Zeroual,Farid,CVP
